model_id,model_name,model_display_name,model_type,behaviour
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:riskyab:A6hQQ1dl,risky_0,Risky model,risky,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:riskyab2:A8At4RPp,risky_1,Risky model,risky,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:riskyab3:A8KM52hk,risky_2,Risky model,risky,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:riskyab4:A8zS4Pp5,risky_3,Risky model,risky,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:riskyab5:A9ORAfan,risky_4,Risky model,risky,risky_safe
,,,,
gpt-4o,gpt-4o,gpt-4o,baseline,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:safeyab:A6iKcMfD,safety_0,Safe model,safe,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:safeyab2:A8AtRNpi,safety_1,Safe model,safe,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:safeyab3:A8KMTv5G,safety_2,Safe model,safe,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:safeyab4:A8zQBQvs,safety_3,Safe model,safe,risky_safe
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:safeyab5:A9OcjNsR,safety_4,Safe model,safe,risky_safe
